card5,count,mean
226.0,296546,0.029516499969650577
224.0,81513,0.038668678615680935
166.0,57140,0.011025551277563878
102.0,29105,0.06294451125236214
117.0,25941,0.013646351335723372
138.0,19737,0.0852206515681208
195.0,16945,0.040188846267335494
137.0,11720,0.14718430034129693
126.0,10298,0.010196154593124878
219.0,9924,0.0575372833534865
202.0,7103,0.008165563846262143
162.0,4524,0.0665340406719717
229.0,2048,0.015625
197.0,1551,0.05544809800128949
150.0,1338,0.0171898355754858
100.0,978,0.018404907975460124
223.0,936,0.08867521367521368
118.0,752,0.0199468085106383
190.0,744,0.026881720430107527
146.0,671,0.03427719821162444
198.0,670,0.050746268656716415
236.0,647,0.030911901081916538
185.0,474,0.04008438818565401
203.0,428,0.06542056074766354
147.0,417,0.11270983213429256
141.0,341,0.093841642228739
129.0,325,0.027692307692307693
142.0,277,0.04332129963898917
194.0,259,0.05019305019305019
183.0,258,0.011627906976744186
228.0,248,0.05241935483870968
144.0,219,0.0730593607305936
119.0,219,0.0273972602739726
131.0,205,0.004878048780487805
132.0,203,0.034482758620689655
135.0,196,0.04081632653061224
133.0,145,0.05517241379310345
134.0,94,0.010638297872340425
207.0,82,0.0
213.0,79,0.0
177.0,77,0.0
149.0,77,0.06493506493506493
232.0,69,0.057971014492753624
222.0,64,0.0
237.0,49,0.04081632653061224
215.0,44,0.0
143.0,43,0.09302325581395349
212.0,42,0.11904761904761904
159.0,36,0.05555555555555555
184.0,33,0.0
182.0,30,0.0
199.0,28,0.03571428571428571
188.0,26,0.0
127.0,25,0.0
111.0,25,0.0
225.0,24,0.0
104.0,23,0.0
233.0,19,0.0
189.0,15,0.0
139.0,13,0.23076923076923078
136.0,13,0.0
107.0,12,0.3333333333333333
130.0,12,0.0
121.0,12,0.0
180.0,10,0.0
148.0,9,0.0
171.0,8,0.0
156.0,8,0.0
168.0,8,0.0
217.0,7,0.0
101.0,7,0.0
235.0,6,0.0
116.0,5,0.0
210.0,5,0.0
122.0,5,0.0
106.0,5,0.0
164.0,4,0.0
151.0,4,0.0
230.0,4,0.0
163.0,3,0.0
128.0,3,0.0
112.0,3,0.0
158.0,3,0.0
114.0,3,0.0
109.0,3,0.0
157.0,3,0.0
216.0,3,0.0
169.0,3,0.0
214.0,3,0.0
172.0,3,0.0
211.0,3,0.0
113.0,2,0.0
105.0,2,0.0
231.0,2,0.0
123.0,2,0.0
191.0,2,0.5
152.0,2,0.0
205.0,2,0.0
160.0,2,0.0
200.0,2,0.0
140.0,2,0.0
145.0,2,0.0
181.0,1,0.0
234.0,1,0.0
165.0,1,0.0
173.0,1,0.0
175.0,1,0.0
178.0,1,0.0
209.0,1,0.0
187.0,1,0.0
206.0,1,0.0
125.0,1,0.0
196.0,1,0.0
221.0,1,0.0
201.0,1,0.0
120.0,1,0.0
204.0,1,0.0
115.0,1,0.0
167.0,1,1.0
