card1,count,mean
7919,14932,0.007500669702652022
9500,14162,0.03728286965117921
15885,10361,0.042853006466557285
17188,10344,0.026875483372003094
15066,7945,0.03939584644430459
12695,7091,0.02834579043858412
12544,6773,0.021556178945814262
6019,6771,0.043420469649977846
2803,6141,0.011887314769581502
7585,5334,0.04930633670791151
10616,5172,0.03905645784996133
12839,5129,0.013647884577890427
3154,4614,0.06198526224534027
2616,4410,0.07120181405895691
18132,4209,0.014017581373247802
9633,4158,0.17845117845117844
15497,3977,0.010812169977369876
16132,3929,0.01628913209468058
2884,3873,0.013426284533953009
16075,3748,0.04855923159018143
11207,3693,0.011643650148930408
10112,3560,0.009831460674157303
7508,3490,0.027507163323782235
10057,3166,0.03853442830069488
12501,3152,0.021573604060913704
7826,3006,0.025615435795076514
16659,2988,0.022757697456492636
12577,2891,0.00933932895191975
5812,2818,0.11142654364797729
7664,2792,0.045487106017191976
7861,2774,0.020187454938716654
6530,2714,0.0029476787030213707
4461,2686,0.07408786299329859
8320,2632,0.008358662613981762
5033,2604,0.038786482334869435
7207,2578,0.026377036462373934
15063,2522,0.12648691514670896
10486,2505,0.0562874251497006
10023,2428,0.01771004942339374
7815,2411,0.017005391953546247
9112,2364,0.014805414551607445
16560,2080,0.0033653846153846156
9026,2076,0.19123314065510597
16136,2069,0.03431609473175447
4806,2067,0.011611030478955007
13832,2062,0.0950533462657614
7676,2038,0.006378802747791953
12932,1998,0.03203203203203203
1444,1964,0.01985743380855397
4436,1947,0.008731381612737545
11839,1940,0.0288659793814433
17399,1916,0.011482254697286013
2772,1898,0.01791359325605901
2455,1799,0.049471928849360754
1675,1790,0.037430167597765365
14290,1767,0.021505376344086023
11157,1722,0.015098722415795587
3821,1681,0.027364663890541343
17055,1677,0.01490757304710793
1893,1651,0.04542701393095094
1974,1591,0.0043997485857950975
17131,1587,0.010712035286704474
18018,1569,0.009560229445506692
1724,1567,0.03254626675175495
9803,1538,0.06892067620286085
8528,1523,0.015758371634931056
2392,1509,0.012591119946984758
15775,1503,0.00998003992015968
13249,1492,0.014075067024128687
17400,1461,0.019164955509924708
15651,1429,0.008397480755773267
14858,1383,0.0
11201,1379,0.08484408992023205
3682,1364,0.02932551319648094
2256,1343,0.17498138495904692
1342,1321,0.02195306585919758
12686,1308,0.005351681957186544
18249,1307,0.005355776587605203
15484,1277,0.015661707126076743
12469,1267,0.017363851617995266
9992,1257,0.010342084327764518
1939,1219,0.018867924528301886
9300,1186,0.047217537942664416
6550,1183,0.00422654268808115
9175,1167,0.01970865467009426
8695,1147,0.03400174367916303
16255,1140,0.013157894736842105
18268,1130,0.034513274336283185
4272,1116,0.024193548387096774
6174,1112,0.03776978417266187
8755,1110,0.17927927927927928
4663,1108,0.008122743682310469
6170,1094,0.062157221206581355
10989,1085,0.0027649769585253456
8406,1085,0.01566820276497696
9002,1060,0.11415094339622642
11106,1060,0.02169811320754717
9480,1051,0.017126546146527116
13481,1027,0.007789678675754625
15986,1024,0.0146484375
10447,1019,0.009813542688910697
13108,1014,0.029585798816568046
16062,1013,0.14215202369200394
13780,1008,0.0248015873015873
6741,996,0.018072289156626505
13307,991,0.0020181634712411706
5938,988,0.048582995951417005
10960,981,0.027522935779816515
4504,974,0.21560574948665298
5700,962,0.008316008316008316
11218,957,0.0438871473354232
11919,936,0.013888888888888888
1976,928,0.19073275862068967
10568,925,0.20540540540540542
10856,921,0.0
9917,919,0.33297062023939067
2581,912,0.039473684210526314
4090,910,0.017582417582417582
8135,904,0.030973451327433628
12598,898,0.026726057906458798
14276,894,0.28187919463087246
11162,882,0.03854875283446712
4030,875,0.02857142857142857
2157,875,0.012571428571428572
9749,875,0.08114285714285714
6054,871,0.09988518943742825
6481,869,0.01380897583429229
14649,862,0.11252900232018562
14426,844,0.03672985781990521
3681,843,0.00830367734282325
17321,839,0.02026221692491061
17480,835,0.08023952095808383
18227,813,0.07380073800738007
4067,809,0.00865265760197775
9400,804,0.029850746268656716
3178,788,0.031725888324873094
6053,785,0.02165605095541401
16661,783,0.019157088122605363
7005,782,0.030690537084398978
1804,760,0.003947368421052632
4141,755,0.09801324503311258
9350,753,0.029216467463479414
10876,750,0.248
6951,728,0.006868131868131868
16632,723,0.005532503457814661
14079,707,0.009900990099009901
8431,702,0.007122507122507123
15257,700,0.05285714285714286
1906,698,0.04011461318051576
6344,695,0.1237410071942446
13052,695,0.02014388489208633
12037,690,0.01884057971014493
2755,683,0.04685212298682284
2744,682,0.02785923753665689
8117,682,0.02346041055718475
2377,673,0.01337295690936107
16326,664,0.0391566265060241
14479,659,0.054628224582701064
3277,653,0.010719754977029096
11815,652,0.006134969325153374
1764,652,0.08128834355828221
16070,650,0.007692307692307693
8394,609,0.031198686371100164
8900,603,0.006633499170812604
16972,602,0.008305647840531562
7638,597,0.005025125628140704
11233,597,0.08207705192629816
1078,592,0.02027027027027027
15185,589,0.010186757215619695
16435,588,0.022108843537414966
17598,582,0.005154639175257732
12581,580,0.02413793103448276
12866,573,0.020942408376963352
12260,573,0.006980802792321117
3278,572,0.026223776223776224
5291,560,0.017857142857142856
17868,560,0.007142857142857143
16115,560,0.0017857142857142857
9485,559,0.007155635062611807
15385,553,0.019891500904159132
1214,549,0.04189435336976321
2650,545,0.11926605504587157
7835,545,0.005504587155963303
4121,544,0.03308823529411765
5606,543,0.001841620626151013
17729,540,0.009259259259259259
2114,539,0.0037105751391465678
12538,532,0.005639097744360902
1039,530,0.007547169811320755
2039,530,0.03962264150943396
9323,525,0.005714285714285714
11925,514,0.029182879377431907
13844,512,0.06640625
15111,511,0.0
14259,510,0.06470588235294118
8868,507,0.03155818540433925
7069,506,0.037549407114624504
15757,505,0.02178217821782178
15205,504,0.00992063492063492
3605,497,0.0
3094,493,0.016227180527383367
6236,487,0.004106776180698152
18366,484,0.026859504132231406
13749,476,0.008403361344537815
5365,476,0.1953781512605042
12615,465,0.01935483870967742
14182,457,0.03282275711159737
15813,457,0.0
5017,454,0.0
16883,452,0.028761061946902654
17217,447,0.011185682326621925
10186,441,0.04308390022675737
10086,441,0.2108843537414966
11465,433,0.0
7680,433,0.0
16485,431,0.030162412993039442
16085,431,0.0069605568445475635
6816,425,0.009411764705882352
16630,422,0.009478672985781991
1164,421,0.07363420427553444
16873,416,0.014423076923076924
2801,411,0.3795620437956204
12002,407,0.007371007371007371
8691,404,0.007425742574257425
10776,397,0.022670025188916875
2538,395,0.007594936708860759
4151,394,0.07614213197969544
13964,394,0.0025380710659898475
4153,386,0.046632124352331605
3056,382,0.0
6697,382,0.010471204188481676
6832,380,0.039473684210526314
3166,377,0.0
12970,376,0.02925531914893617
5751,374,0.00267379679144385
1333,372,0.02956989247311828
5167,372,0.010752688172043012
9885,371,0.013477088948787063
10895,370,0.005405405405405406
7468,369,0.016260162601626018
9043,368,0.029891304347826088
1284,367,0.010899182561307902
14128,367,0.01634877384196185
10854,366,0.0
12582,366,0.0
5409,364,0.02197802197802198
11653,364,0.008241758241758242
7322,364,0.005494505494505495
18350,361,0.0
14165,360,0.002777777777777778
2646,360,0.019444444444444445
8613,357,0.025210084033613446
3867,356,0.3258426966292135
7669,352,0.028409090909090908
12116,350,0.06
7482,349,0.008595988538681949
13413,349,0.20057306590257878
5492,349,0.02865329512893983
11204,347,0.008645533141210375
5254,345,0.014492753623188406
5901,344,0.023255813953488372
5583,344,0.16569767441860464
16876,340,0.03823529411764706
13526,339,0.26548672566371684
4702,339,0.008849557522123894
13143,339,0.0058997050147492625
10313,337,0.0
7800,333,0.03303303303303303
15359,332,0.04216867469879518
13623,332,0.25
5629,332,0.018072289156626505
16346,332,0.24096385542168675
12725,332,0.0030120481927710845
6394,331,0.00906344410876133
1546,329,0.0121580547112462
12184,326,0.17177914110429449
2704,326,0.0
10908,325,0.003076923076923077
15592,325,0.015384615384615385
6021,324,0.018518518518518517
13234,323,0.009287925696594427
15333,323,0.04953560371517028
1359,321,0.003115264797507788
4571,321,0.006230529595015576
3484,320,0.003125
15678,318,0.006289308176100629
5170,318,0.009433962264150943
11319,317,0.025236593059936908
2249,315,0.050793650793650794
6877,315,0.015873015873015872
8140,314,0.05732484076433121
2408,314,0.0
12570,314,0.01592356687898089
17635,311,0.05144694533762058
17020,310,0.0032258064516129032
1618,309,0.003236245954692557
11690,308,0.03896103896103896
9561,308,0.0
16923,308,0.0
4425,307,0.029315960912052116
3579,305,0.0
10075,305,0.003278688524590164
11837,304,0.0
18375,303,0.066006600660066
2261,303,0.006600660066006601
6194,302,0.009933774834437087
2263,300,0.02
6292,296,0.04391891891891892
1556,296,0.006756756756756757
6542,294,0.01020408163265306
15773,293,0.030716723549488054
16746,291,0.17869415807560138
14502,286,0.0
3181,285,0.0035087719298245615
13960,284,0.02112676056338028
5286,283,0.0
7900,281,0.021352313167259787
11849,281,0.16370106761565836
6207,280,0.014285714285714285
3368,280,0.04285714285714286
6933,279,0.010752688172043012
10859,276,0.057971014492753624
8727,275,0.01090909090909091
6730,272,0.003676470588235294
14025,271,0.0036900369003690036
4591,270,0.011111111111111112
11899,269,0.011152416356877323
6156,268,0.018656716417910446
14631,266,0.03383458646616541
14482,266,0.0
4293,266,0.0
3653,264,0.0
14653,264,0.0
12616,262,0.17938931297709923
4812,261,0.0
12741,261,0.0
16163,261,0.0
17933,260,0.026923076923076925
10838,259,0.0
14065,258,0.03875968992248062
11814,257,0.0
14605,257,0.0
8908,257,0.0038910505836575876
15627,256,0.0546875
13528,254,0.003937007874015748
13597,254,0.015748031496062992
16314,254,0.01968503937007874
6457,254,0.14173228346456693
1684,253,0.03557312252964427
5772,253,0.0
8468,253,0.007905138339920948
16116,249,0.0
3334,248,0.05241935483870968
16189,248,0.0
13809,246,0.04065040650406504
10682,245,0.1306122448979592
14037,243,0.03292181069958848
13534,243,0.0
14080,243,0.0
18301,243,0.19753086419753085
1085,242,0.16115702479338842
18370,240,0.05416666666666667
12694,240,0.04583333333333333
18343,237,0.004219409282700422
17458,236,0.0
18246,235,0.02127659574468085
4208,234,0.038461538461538464
3887,234,0.15384615384615385
14712,232,0.017241379310344827
11900,232,0.0
8113,232,0.09051724137931035
6489,231,0.012987012987012988
12382,231,0.03896103896103896
3602,230,0.06956521739130435
7411,230,0.0
15399,228,0.0043859649122807015
14643,228,0.18859649122807018
9537,228,0.021929824561403508
11862,227,0.04405286343612335
15446,227,0.013215859030837005
10476,227,0.022026431718061675
10740,225,0.0044444444444444444
4975,224,0.0
3055,224,0.013392857142857142
4515,224,0.0
7636,223,0.1031390134529148
3786,223,0.013452914798206279
10680,222,0.0045045045045045045
8187,222,0.08558558558558559
3213,220,0.16818181818181818
5374,220,0.0
12730,218,0.16055045871559634
15851,217,0.013824884792626729
5595,216,0.013888888888888888
14349,216,0.023148148148148147
10925,215,0.06046511627906977
17286,215,0.004651162790697674
7653,214,0.0514018691588785
1279,214,0.004672897196261682
16232,214,0.004672897196261682
15890,213,0.13145539906103287
10748,213,0.023474178403755867
9479,213,0.03286384976525822
7299,213,0.04225352112676056
6544,212,0.19811320754716982
14842,212,0.0
16533,211,0.004739336492890996
8380,210,0.05238095238095238
16568,209,0.028708133971291867
17947,209,0.023923444976076555
10640,209,0.0
13956,209,0.0
14415,209,0.09090909090909091
13734,209,0.1291866028708134
16188,208,0.014423076923076924
8414,208,0.0
1744,207,0.014492753623188406
14741,207,0.0
7381,207,0.043478260869565216
12308,207,0.0
6070,207,0.024154589371980676
12133,206,0.0048543689320388345
7949,206,0.15048543689320387
3343,206,0.0
16858,205,0.004878048780487805
4966,205,0.0
11127,204,0.0
15124,204,0.0
2303,203,0.0
14014,202,0.0
15944,202,0.2623762376237624
5293,201,0.0
13833,201,0.0
4967,198,0.0
15315,198,0.13131313131313133
14543,198,0.15656565656565657
13366,198,0.005050505050505051
12235,198,0.0
4921,197,0.03553299492385787
17966,197,0.0
8058,195,0.020512820512820513
4029,195,0.06666666666666667
13511,194,0.05670103092783505
9998,194,0.020618556701030927
14628,194,0.015463917525773196
13530,193,0.0
10505,193,0.015544041450777202
6580,191,0.07853403141361257
10471,191,0.010471204188481676
14540,190,0.0
16727,189,0.026455026455026454
1450,188,0.010638297872340425
7078,187,0.0
12163,187,0.058823529411764705
9303,186,0.0
17746,185,0.0
15863,185,0.010810810810810811
15494,182,0.0
14318,182,0.038461538461538464
5347,182,0.23076923076923078
6335,181,0.022099447513812154
2336,180,0.0
6369,180,0.1
12253,180,0.08888888888888889
5287,179,0.26256983240223464
13982,179,0.01675977653631285
6727,178,0.0
17782,178,0.07303370786516854
3570,178,0.028089887640449437
10836,178,0.06741573033707865
15815,178,0.0
1522,177,0.0
7970,177,0.06779661016949153
2383,177,0.0
5997,176,0.16477272727272727
6635,176,0.017045454545454544
4526,175,0.0
2939,175,0.44571428571428573
8821,174,0.0
4577,173,0.017341040462427744
4063,171,0.005847953216374269
14885,171,0.0
11160,170,0.011764705882352941
12807,170,0.011764705882352941
15316,170,0.0
6592,169,0.0
9364,168,0.1130952380952381
