card2,count,mean
321.0,48935,0.0285276387044038
111.0,45191,0.02164147728530017
555.0,41995,0.02283605191094178
490.0,38145,0.024013632192947963
583.0,21803,0.041232857863596754
170.0,18214,0.031294608542879104
194.0,16938,0.007675050183020427
545.0,16355,0.08682360134515439
360.0,15190,0.010401579986833442
514.0,14541,0.04621415308438209
174.0,11310,0.02546419098143236
512.0,10126,0.019751135690302193
408.0,8012,0.08399900149775337
361.0,7827,0.017247987734764277
100.0,7570,0.012813738441215323
225.0,7445,0.027400940228341168
215.0,7281,0.014833127317676144
399.0,7180,0.02841225626740947
553.0,6495,0.05050038491147036
481.0,6336,0.029356060606060608
268.0,6239,0.007372976438531816
567.0,6137,0.016294606485253382
476.0,5822,0.007385778083132944
375.0,5473,0.08002923442353371
543.0,5451,0.006604292790313704
327.0,5100,0.08862745098039215
500.0,5045,0.18057482656095145
298.0,4356,0.023186409550045913
206.0,4208,0.005703422053231939
562.0,3756,0.034345047923322686
161.0,3541,0.01892120869810788
103.0,3468,0.09948096885813149
269.0,3338,0.03145596165368484
310.0,3255,0.023655913978494623
494.0,3136,0.0194515306122449
404.0,3056,0.06511780104712042
204.0,2994,0.08750835003340013
455.0,2979,0.010070493454179255
390.0,2896,0.014502762430939226
130.0,2746,0.2392571012381646
264.0,2746,0.024399126001456665
250.0,2688,0.019717261904761904
453.0,2597,0.06507508663842895
122.0,2519,0.013497419610956728
296.0,2516,0.19197138314785372
445.0,2430,0.02880658436213992
417.0,2340,0.04230769230769231
532.0,2040,0.01715686274509804
393.0,1933,0.020693222969477496
369.0,1881,0.003721424774056353
418.0,1846,0.014084507042253521
142.0,1685,0.2403560830860534
452.0,1682,0.0089179548156956
181.0,1655,0.05558912386706949
177.0,1642,0.24116930572472595
558.0,1482,0.0020242914979757085
199.0,1385,0.007220216606498195
127.0,1350,0.02148148148148148
470.0,1228,0.012214983713355049
517.0,1157,0.0025929127052722557
158.0,1149,0.047867711053089644
480.0,1090,0.03211009174311927
513.0,1085,0.0064516129032258064
548.0,1082,0.0988909426987061
302.0,1075,0.0009302325581395349
383.0,1066,0.01594746716697936
343.0,1063,0.021636876763875823
276.0,1010,0.01485148514851485
428.0,988,0.0020242914979757085
396.0,980,0.004081632653061225
346.0,978,0.03783231083844581
554.0,971,0.013388259526261586
579.0,957,0.0438871473354232
216.0,929,0.061356297093649086
247.0,905,0.030939226519337018
528.0,876,0.08789954337899543
266.0,872,0.1915137614678899
254.0,851,0.01645123384253819
420.0,827,0.006045949214026602
529.0,754,0.18037135278514588
104.0,754,0.2480106100795756
242.0,743,0.009421265141318977
595.0,734,0.017711171662125342
300.0,707,0.007072135785007072
314.0,689,0.005805515239477504
203.0,686,0.013119533527696793
236.0,685,0.00583941605839416
459.0,677,0.19940915805022155
385.0,668,0.04940119760479042
387.0,667,0.053973013493253376
143.0,657,0.0045662100456621
275.0,648,0.0015432098765432098
489.0,647,0.017001545595054096
442.0,647,0.02472952086553323
478.0,645,0.03875968992248062
303.0,632,0.020569620253164556
332.0,611,0.009819967266775777
270.0,595,0.008403361344537815
479.0,592,0.028716216216216218
148.0,560,0.007142857142857143
431.0,557,0.0017953321364452424
322.0,543,0.022099447513812154
318.0,542,0.0018450184501845018
391.0,527,0.007590132827324478
520.0,522,0.0210727969348659
176.0,513,0.36062378167641324
205.0,505,0.031683168316831684
202.0,491,0.12830957230142567
134.0,490,0.04081632653061224
571.0,486,0.0
432.0,484,0.0
271.0,481,0.13513513513513514
167.0,470,0.00425531914893617
251.0,467,0.0
472.0,457,0.0
556.0,450,0.006666666666666667
496.0,444,0.0022522522522522522
297.0,441,0.006802721088435374
549.0,428,0.04672897196261682
464.0,425,0.009411764705882352
272.0,415,0.021686746987951807
474.0,414,0.04106280193236715
411.0,414,0.014492753623188406
414.0,413,0.01937046004842615
258.0,407,0.0
599.0,403,0.007444168734491315
584.0,397,0.005037783375314861
585.0,395,0.21012658227848102
372.0,387,0.002583979328165375
226.0,386,0.02849740932642487
449.0,386,0.018134715025906734
561.0,382,0.007853403141361256
381.0,381,0.031496062992125984
559.0,377,0.0
550.0,376,0.031914893617021274
350.0,375,0.0026666666666666666
593.0,370,0.0
460.0,350,0.011428571428571429
113.0,347,0.025936599423631124
345.0,346,0.017341040462427744
333.0,344,0.0029069767441860465
498.0,340,0.008823529411764706
462.0,339,0.014749262536873156
325.0,336,0.002976190476190476
102.0,332,0.0
324.0,331,0.24169184290030213
440.0,329,0.1641337386018237
507.0,328,0.03353658536585366
320.0,325,0.015384615384615385
564.0,325,0.009230769230769232
184.0,322,0.009316770186335404
568.0,321,0.0
155.0,317,0.025236593059936908
253.0,315,0.009523809523809525
239.0,314,0.044585987261146494
454.0,314,0.006369426751592357
492.0,312,0.00641025641025641
565.0,311,0.05144694533762058
110.0,309,0.006472491909385114
422.0,304,0.03618421052631579
536.0,304,0.0756578947368421
572.0,303,0.039603960396039604
304.0,303,0.0
191.0,302,0.0
152.0,301,0.0033222591362126247
586.0,293,0.006825938566552901
105.0,290,0.0
